Name,Place ID,Formatted Address,Category,rating,total_reviews,Price Level,Review Text
Albar Cafe Milk,ChIJ_2wEfu-DeC4RPn-gaCEXSh4,"Jl. Mertojoyo Sel. No.22B, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, store, food, point_of_interest, establishment",4.3,371,1,"Just everytime i want to drink something again at the end of the night and they said ""close order mas""

Ok

Recomend

Nice

Good place and service"
Legenda Coffee & Angkringan,ChIJ_3uS_tsp1i0RsnlCiN68l8k,"Jl. Joyo Suko Tim. Gg. II No.40, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, store, point_of_interest, establishment",4.6,11,,"Yes ok

Ok

Siniiiiii

Very satisfying and really highly recommended for hanging out with friends or alone. It's not yet equipped with a prayer room, so when it's time for prayer you don't miss it

A simple place to hang out but comfortable to be a place to relax"
IWABEKA Sawojajar,ChIJ_5BVGI4p1i0RdOhN_v4nJxM,"Jl. Danau Bratan Raya No.C2 A12, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia","cafe, point_of_interest, food, establishment",4.6,125,,"Cute, little cafe, located at sawojajar area.  Quiet  and cozy, they served good coffee  and some snacks. When you need really a peace place  for hang out maybe this the place can be chosen

Cozy place, tasty food, economical price. Excellent service

The place for make your mood go to sky

From the outside it looks small, but inside the place extends to the back and is quite cozy. Suitable for relaxing snacking. Unfortunately the parking space is limited close to the road.

Btw, what I ordered, I forgot the name of the mocktail or sparkling, the taste of passion fruit is really fresh, delicious

The place is quite comfortable, not too crowded, homey atmosphere, good drinks, recommended for relaxing"
Bunder Pisang Goreng Topping sumber jaya 9,ChIJ_5HLdtzX1y0RqX1Uooa5A_w,"3JQH+PVX, Jl. Raya Tasikmadu, Karangploso Wetan, Kepuharjo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65153, Indonesia","cafe, point_of_interest, food, establishment",5,1,,
Meichan Thaitea,ChIJ_6-cNMMp1i0R4JOXf1ktp6Y,"Stand No.19, Taman Kulineran Cengger Ayam, Jl. Cengger Ayam No.34, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, food, point_of_interest, establishment",4.2,5,,"The size is large, tastes good, very fresh, suitable to drink during the day or when the weather is hot. Sometimes there are also promos, really recommended 👍

The price is worth it. But the service is long





"
Warung Kopi Apache,ChIJ_63cjCFZei4R9GGvCR9ir5g,"Jl. Ikan Kakap No.1, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, food, point_of_interest, store, establishment",4.5,33,1,"Top

Apache rental PS3 and coffee shop free wifi

A comfortable place for coffee and cellphone charging, because it's quite difficult to find a place like this in Malang, at a low price too

He said 24 hours when I arrived on February 19 2019 it was closed, I arrived at 02.00

Very comfortable, very smooth wifi, it is recommended to try."
Boss Cafe,ChIJ_7BW2OMn1i0RvwEh8S35qV0,"Jl. Raya Dermo No.32, Jetis, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia","cafe, point_of_interest, food, establishment",4.8,4,,"Tasty stmj, nice coffee, good foodie and everything.

His mother is really friendly, there are various kinds of food and drinks. There's laundry too, there's stmj. VERY COOL

Her mother is really good

"
Kanun4 Cafe,ChIJ_7epM4op1i0Rx71bbrv4pQs,"3HGP+26P, Jl. Raya Dermo, Dermo, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia","cafe, food, point_of_interest, establishment",4.7,97,,"Quiet place for relaxing

Good vibe

LOVE PLACE BEST VIEWS

After not being here for a long time, I was surprised, it turned out that the cafe had been renovated in such a way. In the past this cafe was very simple with a sky roof and vines, now this cafe has turned into an aesthetic cafe with various ornaments. In the past, the outlets were only available at certain points, now the outlets are made evenly spread in almost every corner. The place is getting nicer and more comfortable, then the price is also still in the pocket of students. For the menu, then and now there have been many changes, even almost all of the menus are new menus. In the past, the heavy food menu was only indomie rice noodles, now the heavy food menu is quite varied and suitable to fill the stomach while enjoying the breeze in the afternoon. What I really miss about this place are the cute cats. There used to be a jet black village cat whose voice was very cute and made me miss. Yesterday when I visited again unfortunately did not meet the black cat. Really recommended this place

The place is comfortable. It is recommended to come here at night with friends. The most delicious place lesehannya. In addition to the availability of wifi, there is also a wall socket for those who want to charge their cellphones or laptops at the sitting area. You can read contemporary books at the cross-legged area and you can borrow a guitar or a card from the receptionist/cashier to play with friends."
Toko Kopi Kongca,ChIJ_7n8y26CeC4RDhdOPhpjrLU,"Jl. Trunojoyo No.23, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, point_of_interest, store, food, establishment",4.6,586,,"i do like classic coffeeshop, remind me apek coffeeshop at medan or asiang at pontianak. Serve good coffee, with nice ambience because this place near city station, best time to visit was at breakfast time. Roti kaya and kopi susu klasik was my favorite to order here. nicee

As a non coffee lover. The butter coffee is not bitter and tasted good. The fried noodle is decent. A bit too sweet for my preferences. Crowded and smoking area but overall good

Best kopitiam in malang town so far
I have tried some kind of places in malang, and i found that this place is the best overall
I like the butter coffee, not to sweet not to strong
I like the kaya butter toast too. It is a perfect combination.
I ordered the other food too, and all was good. The price is really affordable.
But, there is not enough chair and table. You have to queue for about 10-20 minutes. N.b i came at 10 am
Definitely will come back next time

oldschool kopitiam that everyone would love! it's located near train station, so we made a short visit to takeaway some food to be enjoyed in train. overall it tasted good with affordable price

If you like retro places, you must try this coffee shop. The vibes of this place is like 80s Singaporean coffee shops, who served Coffee, Milk Tea, Bread, and Half-boiled Egg. The coffees are great, their must try are the Butter Coffee and Coffee with Evaporated Milk. But if you like the classic, their Classic Black Coffee is a bomb. Also the Kaya Butter Bread! Sweetness from the Kaya jam and the saltiness of the butter mixed very well, it's delicious! Their menu is not too much, just a bit snacks like Cireng, Mendoan and Ngo Hiong (this one, very recommended!!), also the main course, like Fried Bakmee (a bit too sweet for me, but still delish!) and Soup Bakmee. Also the ambience, it's very cozy and calm, you'll want to spend hours here if you love the old city vibes. Definitely gonna come back if I visit Malang again!"
Malliesco the Warkop Ext.,ChIJ_7RY5PWDeC4RoqqijoQxVlo,"Jl. Kyai Parseh Jaya No.03, RT.03/RW.02, Bumiayu, Kec. Kedungkandang, Kota Malang, Jawa Timur 65135, Indonesia","cafe, restaurant, food, point_of_interest, store, establishment",4.6,14,,"Cool

nice

Like it

A very nice and comfortable place to hang out 2x with friends, friends and family

Very good cafe & satisfying service"
GOLDEN HERITAGE KOFFIE,ChIJ_809ZTBXeC4RL7SNiRcr63E,"Jl. Raya Tidar No.36, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146, Indonesia","cafe, food, store, point_of_interest, establishment",4.6,1742,2,"Amazing detailed ornaments and interior.

Definitely one of the most unique cafes out there. Many instagrammable spots inside this cafe.

Enjoyed some work time in front of my laptop woth some snacks and drinks. Veru comfortable place.

The foods and drinks are also great. The service from the staff is also veru welcoming and friendly. Definitely will be back.

Cozy place,comfort food,worthy price. Instagramable spot,kids friendly,very recommended 👌

I ordered mie goreng and tea., the tea taste really good. Mie goreng was abit salty., next time should try the coffee. I went there before christmas, they put nice christmas ornaments

The atmosphere there is good.
But the food there is not really satisfying. Honey chicken was either over-fried or fried again and the taste is very ordinary. Not going to pay a cafe price for that kind of food quality.
There heritage noodles also taste just like mie goreng from any other street food stores. Sorry to say, taste and potion are better in those food stores.
So, not very recommend to eat there.
However, the coffee is ok.

If you're a morning person, this place may suit your appetite looking for new ideas. It has an Instagrammable view at every corner. There are variety of coffee and food menu when you're looking forward of a big breakfast. The price is in middle range. It's not too expensive nor too cheap as well. But, the taste of the food is so so for me. The service is okay despite I've had uncomfortable event when the waiter was reluctantly serving us breakfast. Maybe I should come another day to
experience a different service."
Séka Coffee,ChIJ_8TCcZwp1i0RhxNRm0mHdVU,"Jl. Bunga Widara No.3, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, food, point_of_interest, store, establishment",5,3,,"The coffee is great, especially the brown sugar milk iced coffee, the sweetness is ok

Suitable for relaxing, nice place

"
Java Dancer Coffee - Majapahit,ChIJ_9Hcpmop1i0Rz0paVy445Ec,"Jl. Majapahit No.2, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, restaurant, point_of_interest, food, store, establishment",4.5,2136,2,"The name of the cafe is very beautiful.
Java Dancer located in a quiet residential area. It is small enough to seat about 15 people, and the interior is as cute as its pretty name. Even though it is early for dinner, there are 7-8 locals seated. Ordered a salad and chicken for coffee and a light meal. Quantity is more than expected. Delicious coffee and food. But Salad is so salty.

After a hot day wandering lost and stressed around Malang, this was such a relaxing place to cool off. We felt so happy and relaxed in this beautiful shop, surrounded by plants and the sound of bubbling water.

They have single origin coffees from around Indonesia, which can be brewed in five different ways. This was fun to tour. We tried the Kintamani brewed in a siphon, which was mild, with a mango juice they prepared with 100% mango and cream. So refreshing! It's a little expensive as they have some extra charges for certain taxes, which was explained in the menu. Just don't be surprised by the bill.

The ambiance is the strongest point, along with a great menu of drinks and food.

Cosy open air café with extensive menu for both international and local food! We came here for the espressos and they really hit the spot! We indulged on an affogato and ginger latte as well as some delicious pancakes and roti bantal with chocolate!

Wonderful decor and experience for a foreigner like me to see the batik, masks and other traditional puppets. We went between meals but The food looked amazing and I would love to go back and try it.

Got there for just take some coffee..
Ordered hot cappuccino with extra shoot..They used their specialty house blend coffee..

Ambience is so good for chilin"
Warnet Javanet,ChIJ_9rv8XuCeC4R5AerCDWY6D8,"2J4V+X88, Jl. Muharto Gg. 7, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65136, Indonesia","cafe, food, point_of_interest, establishment",5,2,,"This is a place that provides PC and internet services. You can browse and explore cyberspace easily here. Not only that. Here you can also play many games such as point blank, dota, dota 2, lost saga, and others. So don't forget to stop by this place

"
Panggung Cafe,ChIJ_9TZDu2DeC4RwmgxgzAlmE0,"Jl. Gajayana No.18, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, store, point_of_interest, establishment",4.6,7,,"Cozy

Cheap
Lots of menus
Populist price
Friendly seller
Seller good at acting and martial arts
Songwriter and artist

Not bad for coffee

Many and Delicious Choices

"
Semusim Cafe,ChIJ_a6FXPkp1i0RwgravI9ZpmQ,"Jl. MT. Haryono No.110, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, point_of_interest, food, store, establishment",4.6,900,2,"About the place is comfy and makes a good for workspace. There's smoking and non-smoking area. The I dont taste all of the menu, but the I love the rice box blackpepper. I service of the place is good about the person, but they are not ready with few things such as tissue and the refund (uang kembalian) doesnt prepare well.

Love the atmosphere and the food.
It is worth the price. And it is quite cheap compare to other cafes in Malang.

However, it took soooo much time for the food to be ready. Maybe because it's always crowded with people.
Also, they played the music so loud. So you might reconsider to visit this place if you like a quiet place. But they also provide a special room for study or work, so you might use that.

Don't ride a car to visit this place, it's hard to find the parking lot.

Semusim Cafe is on St. MT. Haryono Malang, exactly across from Brawijaya University. This cafe has two floors which are always busy every day with visitors who are mostly students. This cafe sells cheap food and drinks so it is suitable for student pockets, prices start from 7,000 to 20,000. This cafe is open every day, open from 10.00 to 00.00. This cafe has a Scandinavian decoration concept so it is very interesting to visit. and apart from that this cafe also has air-conditioned first floor facilities, there are sockets on each table without worrying about running out of battery, as well as a prayer room for Muslim visitors. Meanwhile, the second floor is a smoking zone as well as a place to carry out tasks. This floor cafe is non-AC, it won't feel hot because of the lots of ventilation and the use of fans to provide extra comfort to visitors.

Price is so affordable. Taste is okay not so extraordinary, only got the problem with too much sweetness for the drink. Place is well and nice, so comfy and having a decent interior.

Strategically located accross the uni. Very affordable price, cute interior, nice ambience (although mostly very crowded), food taste exceeds my expectations."
NCTRNL Coffee,ChIJ_bhYjIaCeC4R2W__6LHXtds,"Jl. Danau Toba Raya No.E1/27, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia","cafe, food, store, point_of_interest, establishment",4.8,4,,"The place is comfortable, there are sofas, the coffee is cheap but delicious, really satisfied!

It's cool to hang out



"
The Soewadish,ChIJ_bZtg5X51y0R2Sj9OLC1bCI,"Jl. Sanggabuana No.4, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia","cafe, food, store, point_of_interest, establishment",4.8,35,1,"Cozy place to enjoy your night

Nice place to dringking coffe

Great ambience..

nice coffee spot

A coffee shop inspired by the coffee shop owner's grandfather, the place and atmosphere is very comfortable and nice to make a place for teenagers to hang out"
Teman minum,ChIJ_c0IhgMo1i0RSEvWj7mkJE0,"Jl. Gajayana No.672B, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, food, point_of_interest, store, establishment",5,1,,Guaranteed it's very fresh and tastes great
Aventree Cafe & Homestay,ChIJ_dgjpk4p1i0RMJAD_5RPnxQ,"Jalan Soekarno Hatta Blok B No.4A, Jatimulyo, Lowokwaru, Kecamatan Lowokwaru, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, lodging, point_of_interest, food, establishment",4.4,1683,2,"really like the decor and concept.  because the concept is a restaurant or cafe in Korea, so the place really follows the decorations in cafes in Korea.  for the food I can rate it with a value of 3/5.  I really like the tteokbokki, and the hot matcha latte is pretty good too.  not too sweet.  For the price a little expensive but still reasonable.  so it's better to come at the beginning of the month or come with friends.  so it doesn't feel too expensive.

Suitable place to eat with workmates, many menu choices. I just found out that there is also a guest house 👍

Need a quick boost, we stop by at this place to get a cup of cappuccino. Services are good, but the cappuccino isn't quite strong like any other cappuccino we taste it.

the budae jjigae and jjampong are 5 stars, really good and worth the price! jjampong soup was refreshing👌🏼 the bibimbap was so-so. my friend tried tteokbokki and rappoki, both the sauce and the tteok weren't good😬

We were trapped in Malang’s traffic jam and decided to stop at Aventree to have a cup of coffee. The restaurant was cute and neat.

When we saw that the restaurant also served Korean Barbecue, we ordered the family package barbecue  and its couple package shabu. The food presentation and taste were barely average.

The Vienesse Coffee was good.

Date of visit: 8 December 2021"
Tematik Coffee,ChIJ_dNlEEHh1y0RQPUwt9y2S8U,"Jl. Kalimantan No.54, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia","cafe, food, store, point_of_interest, establishment",4.9,51,,"The taste of the food and the atmoshphere is great. suitable for you who have a hobby of reading books in cafes.

Nice

Good

Service top

Hands down one of the most comfortable coffeeshops in Malang. Even though the location is not too close to the Soehat area, it turns out that the trip there is worth it.

First, you see the building looks like a vintage house, but overall it looks neat, the combination with the furniture which is dominated by wood, fits perfectly. It feels cool and homey, especially the area isn't too crowded, so you can feel calm.

Try ordering the Japanese brew and heavy food. Make the coffee just right and make it proper, following the barista's advice for the choice of beans, and it turns out to be exactly according to taste. There are many drink menu choices, whether you want coffee or non-coffee.

For food, you can order curry rice, this one is special. I myself don't often order heavy food at coffeeshops in Malang, but here it really is, the food is delicious. The curry is really good, even though it's not too thick but the taste itself is delicious. Plus there is katsu which is big in size and rice which seems to be in the panfry again so it has a taste. The food combination is really delicious, guaranteed not to regret it. And the portions are huge for the price. For now it's a favorite curry in Malang, you can even find something unique in a coffee shop. There are also several kinds of heavy food and all of them are interesting, of course I will try the others on my next visit.

The service is also very friendly and quite good, can also provide an explanation regarding the food and drinks that we will order, where a brief description is also given on the menu.

The seating area consists of indoor, semi-outdoor and outdoor. I myself sat in the semi-outdoor patio area near the bar. There are also plugs available so that it is suitable for working while drinking coffee and eating. The smoking area is in the outdoor near the parking lot. The seats themselves aren't that many, but considering the proportions to the build, they're just right.

Additional facilities such as wifi are also available, there are also toilets.

Parking for cars is in front of the coffeeshop while motorbikes are in the side area, enough to accommodate visitors.

Overall, it's really nice to have coffee in a quite different area, a quiet area. Suitable for work while enjoying coffee. Plus, the food is delicious, this is really a plus, so you don't have to bother moving places to eat. Make sure to include the list of coffeeshops that you will visit!"
Kontainer Cafe UMM,ChIJ_dX_V08NeC4R7qwsUt_OhNI,"Komplek Universitas Muhammadiyah Malang, Jl. Raya Tlogomas No.246, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, point_of_interest, establishment",4.8,204,,"We really like the location and atmosphere of this cafe. It is surrounded by small trees park and near to the My Dormy UMM (small hostel managed by UMM). You can see far part of the city from this cafe, because it is located at relatively higher level (uphill). The foods are the kinds of quick bites or fast foods, the taste is quite good.

The place vibe is so lit. With the wide sky view, and the green scenery add the comforting atmosphere when you're in here. The waffles are truly worth a try. It's only have a few selection of beverages and food, but the choices are nice. Really recommend for those who want to have a nice silent background.

Nice place not recommended while raining

Great times, great meals  n drink simple cozy... mantul.

Great Services, Cozy Place, good prices"
Hore Coffee,ChIJ_e1EjaYXei4RT5HIM5S6YLM,"Jl. Bandung No.32, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia","cafe, restaurant, food, point_of_interest, store, establishment",4.6,60,,"Good coffee and cozy place. The price is affordable for student. It's also have clean toilets.

A Coffee Shop specializing in AeroPress Brewing Technique. Here's my brief review:

Coffee : 4/5
Non-Coffee : 4/5
Ambience : 4/5
Facilities (Wifi, Restroom, Ambience) : 4/5

Great coffee shop, deserve more recognition. The Baristas are super friendly and informing, and last but not least, the prices do make sense.

Good place for enjoying aeropress coffee

a good place and good food. the price starts from Rp 10.000 (if I'm not mistaken). it's like a hidden place to relax and grab a coffee and read a book.

A great place to chill with various delicacies. Hmm what else? Calm atmosphere to support your productivity, in case you need a place to do your remote work :D"
RD Coffee & Eatery,ChIJ_e3gkGcf1i0R93QYKxw2uQA,"Jl. Asahan No.6, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65111, Indonesia","cafe, restaurant, food, store, point_of_interest, establishment",4.5,133,,"The place for chilled out and eatery, especially at Semox Juice Cafe & eatery , the food and the juices are very delicious.

Worth to try..

Cafe rock'n roll

Ok

Very Recommended"
Kedai RUPA DUTA,ChIJ_e5YomZBdy4RsaA9IQeRZBw,"Jl. Pekalongan No.15, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113, Indonesia","cafe, point_of_interest, food, establishment",4.9,95,1,"Services-nya mantap. Murce banget. Reachable and enjoyable place!!!!

Good foods! Good vibes! It's a cafe with a new concept that leaning more to a sustainable option. Like, they're using their own metal straws and supporting local coffee farmer! Good job and keep up the good work!

Hommy n haumble...

good

Good place"
rumah kopi AZURA,ChIJ_f-XC8mDeC4RNSGiOOlM_Lo,"Jl. Kedawung No.37, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, food, point_of_interest, store, establishment",4.8,98,1,"Good taste coffee shop

Nice👌

TOP

Make the location very cozy for hanging out. The atmosphere is comfortable. It's just a snack. But you can drink it. It's all the same for the price. You can try those who want to stop by to hang out here

The place is small but quite comfortable. Suitable for those who want to have sex but don't want it to be too noisy. The food is also delicious and the prices are still affordable. Only if you bring a vehicle is rather difficult, because the parking is limited. It is recommended not to bring a car"
KOJUWA,ChIJ_fGNQ3f71y0Re3voXcbty_8,"Jl. Ikan Tombro No.27, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, store, food, point_of_interest, establishment",4.7,20,,"I do love the Ameicano coffee, have Banana coffee that I rarely found in Malang, open 24 hours a good to place to go in the morning, aftie and night.

Best coffee shop in town! Here hang out together!

Nice place.
If possible, add a cold drink variant.

The place is unique and cool
Arek poor must come here!

The coffee is very good, bro, the location is also very comfortable"
